country1,country2,weight
Canada,sl,120
sl,pt,58
pt,bg,42
France,sl,194
Canada,sl,194
war,ca,224
de,la,66
ru,lb,11
vec,de,6
de,id,61
it,af,11
China,th,20
th,France,10
th,Canada,10
France,hu,72
Canada,hu,72
ms,he,15
Sweden,li,27
li,de,12
vo,jv,6
jv,ms,36
ru,gd,6
eo,stq,6
stq,pl,16
pl,nds_nl,5
uk,no,39
Spain,fa,67
Mexico,fa,67
ko,tr,26
tr,pt,18
France,ta,7
Canada,ta,7
USA,ku,53
Canada,ku,53
ca,de,107
de,sw,77
sw,bg,10
mrj,pnb,77
pnb,ckb,20
ckb,ms,24
no,az,9
USA,th,27
Canada,th,27
th,China,16
hi,de,10
it,bn,6
ml,ta,9
ta,mr,7
fa,USA,109
fa,Canada,109
ur,az,8
az,France,12
az,Canada,12
France,hy,24
Canada,hy,24
pnb,Sweden,18
ca,et,17
et,China,14
ms,ce,13
tt,be,6
bg,USA,28
bg,Canada,28
ja,eml,7
nn,fa,17
Netherlands,lt,32
az,hy,9
uk,fa,47
fa,ur,6
ur,France,7
ur,Canada,7
ce,be,5
sk,hu,126
war,rue,14
rue,eo,7
uk,ms,31
sr,ca,117
hu,lt,14
no,ru,95
et,Spain,14
et,Mexico,14
fi,tr,22
mr,it,9
USA,ar,134
Canada,ar,134
ar,de,58
uk,Netherlands,36
Netherlands,hy,7
hy,China,17
Spain,ka,15
Mexico,ka,15
ka,fi,14
tt,hsb,18
hy,USA,6
hy,Canada,6
cs,hu,26
sr,be,7
be,France,11
be,Canada,11
France,da,49
Canada,da,49
da,Netherlands,33
la,ms,11
de,jv,18
war,ceb,50
ceb,ms,44
ru,th,11
th,de,11
id,China,27
tr,USA,143
tr,Canada,143
sw,France,53
sw,Canada,53
nn,ms,31
ko,ru,44
uk,China,106
ru,hu,45
hu,hy,10
ca,tr,24
hy,France,28
hy,Canada,28
sw,ru,90
ru,mrj,33
pnb,nn,11
nn,azb,42
azb,ms,24
it,id,29
ms,sq,10
id,France,39
id,Canada,39
tr,Netherlands,27
pl,uk,103
uk,ur,6
hu,Spain,77
hu,Mexico,77
fi,pnb,5
pnb,it,5
it,ms,137
ko,be,6
be,lt,7
ar,bg,11
it,mk,7
mk,France,8
mk,Canada,8
uk,hu,33
hu,bg,20
mr,ta,8
ta,China,9
he,de,20
lt,it,45
ar,ru,38
Sweden,hu,29
he,USA,26
he,Canada,26
cs,nn,31
no,ms,8
China,zh_yue,55
zh_yue,ar,12
ro,eo,20
fa,France,52
fa,Canada,52
ko,no,42
pms,it,5
Spain,mk,7
Mexico,mk,7
no,da,38
da,pl,17
hu,nn,9
nn,ca,7
ca,sh,9
sh,France,23
sh,Canada,23
France,is,7
Canada,is,7
fa,ar,85
ka,uk,53
hu,vi,5
France,crh,16
Canada,crh,16
he,fa,25
fa,nn,7
nn,be_x_old,20
be_x_old,lv,14
Sweden,ka,9
et,Netherlands,19
da,it,24
Spain,azb,6
Mexico,azb,6
ro,pl,90
pl,jv,26
jv,USA,47
jv,Canada,47
USA,lv,37
Canada,lv,37
bg,fa,14
la,bg,70
bg,ro,9
USA,ht,158
Canada,ht,158
la,sq,44
th,cs,11
cs,sr,20
sr,hi,5
ko,Netherlands,41
pt,sh,13
ur,pnb,10
sr,hr,35
hr,USA,43
hr,Canada,43
sh,pl,13
Spain,bg,29
Mexico,bg,29
China,sk,13
be,pt,5
pt,sq,7
cy,nv,6
cs,it,64
nn,ar,13
ja,fa,27
Sweden,ml,6
no,sl,5
